poblacion,fecha,hora,nivel,carretera,pk_inicial,pk_final,sentido,longitud,latitud
Barakaldo,2006-12-29,22:57:12,Blanco,A-8,123,123,IRUN,-2.99417,43.28436
Barakaldo,2006-12-29,22:56:34,Blanco,A-8,123,123,CANTABRIA,-2.994162,43.28455
Barakaldo,2006-12-29,03:18:19,Blanco,A-8,123,123,IRUN,-2.99417,43.28436
Arrigorriaga,2006-12-28,21:15:14,Blanco,A-8,113,115,IRUN,-2.90804,43.23352
Alonsotegi,2006-12-28,15:54:58,Blanco,BI-636,9,9,BILBAO,-2.993629,43.24061
Abanto y Cirvana-Abanto Zierbena,2006-12-28,10:01:56,Blanco,A-8,131,131,IRUN,-3.06707,43.32707
Bilbao,2006-12-28,09:01:52,Blanco,BI-636,6,6,CADAGUA,-2.96931,43.25774
Barakaldo,2006-12-27,23:01:08,Blanco,A-8,123,123,IRUN,-2.99417,43.28436
Bilbao,2006-12-27,22:53:20,Blanco,A-8,111,113,CANTABRIA,-2.883459,43.231
Galdakao,2006-12-27,21:29:09,Blanco,N-634,101,101,DONOSTIA/SAN SEBASTIN,-2.838604,43.22767
Alonsotegi,2006-12-27,14:51:45,Amarillo,BI-636,9,9,BILBAO,-2.993629,43.24061
Santurtzi,2006-12-27,09:18:56,Blanco,A-8,130,130,CANTABRIA,-3.055796,43.3228
Alonsotegi,2006-12-27,14:51:45,Amarillo,BI-636,9,9,BILBAO,-2.993629,43.24061
Durango,2006-12-27,09:58:47,Negro,BI-623,29,30,DURANGO,-2.64331,43.16703
Bilbao,2006-12-27,09:40:45,Blanco,BI-636,6,6,CADAGUA,-2.96931,43.25774
,2006-12-27,09:18:56,Blanco,A-8,130,130,CANTABRIA,-3.055796,43.3228
Gordexola,2006-12-27,00:37:23,Blanco,BI-636,18,18,BILBAO,-3.06356,43.19168
Barakaldo,2006-12-26,23:13:33,Blanco,A-8,124,124,IRUN,-3.005,43.28859
Galdakao,2006-12-26,21:53:37,Blanco,N-634,101,101,DONOSTIA/SAN SEBASTIN,-2.838604,43.22767
Basauri,2006-12-26,21:50:56,Blanco,A-8,111,113,IRUN,-2.88343,43.2309
Muskiz,2006-12-26,09:18:32,Blanco,A-8,139,139,IRUN,-3.1511,43.34147
Barakaldo,2006-12-25,23:26:55,Blanco,A-8,124,124,IRUN,-3.005,43.28859
Basauri,2006-12-22,15:20:40,Blanco,A-8,112,112,IRUN,-2.89592,43.23205
,2006-12-22,15:22:38,Blanco,AP-68,12,12,BILBAO,-2.937925,43.15139
Arrigorriaga,2006-12-22,15:20:40,Blanco,A-8,112,112,IRUN,-2.89592,43.23205
Basauri,2006-12-22,14:16:16,Blanco,A-8,113,113,IRUN,-2.90804,43.23352
,2006-12-22,08:33:54,Blanco,AP-68,15,15,BILBAO,-2.923555,43.12848
Bilbao,2006-12-22,08:33:54,Blanco,AP-68,9,9,BILBAO,-2.91544,43.17173
Bilbao,2006-12-22,00:12:30,Blanco,BI-636,17,17,BILBAO,-3.05277,43.19161
Bilbao,2006-12-21,21:22:00,Blanco,A-8,111,113,CANTABRIA,-2.883459,43.231
Abadio,2006-12-21,10:33:34,Amarillo,A-8,113,113,IRUN,-2.90804,43.23352
Abadio,2006-12-21,10:33:34,Amarillo,A-8,113,113,CANTABRIA,-2.908069,43.23378
Muskiz,2006-12-21,08:59:18,Amarillo,A-8,136,136,IRUN,-3.11643,43.33947
Muskiz,2006-12-21,08:59:18,Amarillo,A-8,136,136,CANTABRIA,-3.11618,43.33962
Muskiz,2006-12-21,08:59:18,Amarillo,A-8,136,136,CANTABRIA,-3.11618,43.33962
,2006-12-21,08:57:08,Blanco,BI-636,20,20,BILBAO,-3.0823,43.20092
