poblacion,fecha,hora,nivel,carretera,pk_inicial,pk_final,sentido,longitud,latitud
Erandio,2007-06-21,22:55:12,Blanco,BI-604,4,5,ASUA,-2.95606,43.27935
Bilbao,2007-06-25,10:30:04,Blanco,BI-3742,6,7,KASTRESANA,-2.97362,43.26924
Erandio,2007-06-21,22:55:12,Blanco,BI-604,4,5,ASUA,-2.95606,43.27935
Abadio,2007-02-14,09:31:51,Blanco,BI-3323,31,31,ABADIO,-2.61036,43.16851
,2007-12-30,10:42:41,Blanco,BI-604,3,3,BILBAO,-2.948006,43.27291
Erandio,2007-12-28,10:41:31,Negro,BI-604,5,5,ASUA,-2.95976,43.28766
Erandio,2007-12-28,10:41:31,Blanco,BI-604,5,5,ASUA,-2.95976,43.28766
,2007-12-28,10:41:31,Blanco,BI-604,5,5,ASUA,-2.95976,43.28766
Zaldibar,2007-12-28,09:27:18,Blanco,A-8,78,78,CANTABRIA,-2.52557,43.17716
Zaldibar,2007-12-28,09:27:18,Blanco,A-8,78,78,CANTABRIA,-2.52557,43.17716
Derio,2007-12-28,00:08:27,Blanco,N-637,24,24,Galdakao,-2.827225,43.26411
Barakaldo,2007-12-27,23:21:16,Amarillo,A-8,126,126,CANTABRIA,-3.02221,43.30038
Valle de Trpaga-Trapagaran,2007-12-27,10:52:12,Blanco,A-8,126,128,CANTABRIA,-3.02221,43.30038
,2007-12-27,09:08:50,Blanco,BI-636,18,18,CADAGUA,-3.06356,43.19168
Gees,2007-12-26,11:48:41,Blanco,BI-636,19,19,CADAGUA,-3.07241,43.19688
Erandio,2007-12-26,12:01:56,Blanco,BI-604,4,5,ASUA,-2.95606,43.27935
,2007-12-26,11:48:41,Blanco,BI-636,19,19,CADAGUA,-3.07241,43.19688
,2007-12-26,10:00:45,,BI-636,16,16,BILBAO,-3.04163,43.19785
,2007-12-26,04:06:16,Blanco,BI-636,4,4,BILBAO,-2.964667,43.26813
