,poblacion,fecha,hora,nivel,carretera,pk_inicial,pk_final,sentido,longitud,latitud,zona
0,Barakaldo,2006-12-29,22:57:12,Blanco,A-8,123,123,IRUN,-2.99417,43.28436,7
1,Arrigorriaga,2006-12-28,21:15:14,Blanco,A-8,113,115,IRUN,-2.90804,43.23352,24
2,Alonsotegi,2006-12-28,15:54:58,Blanco,BI-636,9,9,BILBAO,-2.993629,43.24061,28
3,Abanto y Cirvana-Abanto Zierbena,2006-12-28,10:01:56,Blanco,A-8,131,131,IRUN,-3.06707,43.32707,36
4,Bilbao,2006-12-28,09:01:52,Blanco,BI-636,6,6,CADAGUA,-2.96931,43.25774,7
5,Barakaldo,2006-12-27,23:01:08,Blanco,A-8,123,123,IRUN,-2.99417,43.28436,7
6,Bilbao,2006-12-27,22:53:20,Blanco,A-8,111,113,CANTABRIA,-2.883459,43231.0,45
7,Alonsotegi,2006-12-27,14:51:45,Amarillo,BI-636,9,9,BILBAO,-2.993629,43.24061,28
8,Santurtzi,2006-12-27,09:18:56,Blanco,A-8,130,130,CANTABRIA,-3.055796,43.3228,4
9,Durango,2006-12-27,09:58:47,Negro,BI-623,29,30,DURANGO,-2.64331,43.16703,14
10,Gordexola,2006-12-27,00:37:23,Blanco,BI-636,18,18,BILBAO,-3.06356,43.19168,47
11,Barakaldo,2006-12-26,23:13:33,Blanco,A-8,124,124,IRUN,-3005.0,43.28859,35
12,Galdakao,2006-12-26,21:53:37,Blanco,N-634,101,101,DONOSTIA/SAN SEBASTIN,-2.838604,43.22767,8
13,Muskiz,2006-12-26,09:18:32,Blanco,A-8,139,139,IRUN,-3.1511,43.34147,35
14,Basauri,2006-12-22,15:20:40,Blanco,A-8,112,112,IRUN,-2.89592,43.23205,17
15,,2006-12-22,15:22:38,Blanco,AP-68,12,12,BILBAO,-2.937925,43.15139,48
16,,2006-12-22,08:33:54,Blanco,AP-68,15,15,BILBAO,-2.923555,43.12848,31
17,Bilbao,2006-12-22,00:12:30,Blanco,BI-636,17,17,BILBAO,-3.05277,43.19161,47
18,Bilbao,2006-12-21,21:22:00,Blanco,A-8,111,113,CANTABRIA,-2.883459,43231.0,45
19,Abadio,2006-12-21,10:33:34,Amarillo,A-8,113,113,IRUN,-2.90804,43.23352,24
20,Muskiz,2006-12-21,08:59:18,Amarillo,A-8,136,136,IRUN,-3.11643,43.33947,23
21,,2006-12-21,08:57:08,Blanco,BI-636,20,20,BILBAO,-3.0823,43.20092,2
22,Bilbao,2006-12-20,21:32:01,Blanco,A-8,111,113,IRUN,-2.88343,43.2309,3
23,Muskiz,2006-12-20,12:12:32,Amarillo,A-8,132,132,CANTABRIA,-3.076844,43.33044,37
24,Basauri,2006-12-20,09:50:31,Amarillo,A-8,113,113,IRUN,-2.90804,43.23352,24
25,,2006-12-20,00:29:22,Blanco,BI-636,8,8,BILBAO,-2.982984,43.2456,51
26,Bilbao,2006-12-19,23:28:14,Blanco,A-8,113,113,CANTABRIA,-2.908069,43.23378,24
27,,2006-12-19,21:58:28,Blanco,N-634,101,101,SANTANDER,-2.838604,43.22767,8
28,,2006-12-19,12:36:21,Blanco,N-637,21,21,ERLETXE ( por PTE. RONTEGI),-2.86075,43.27302,21
29,Gordexola,2006-12-19,00:29:56,Blanco,BI-636,18,18,BILBAO,-3.06356,43.19168,47
30,Barakaldo,2006-12-18,23:49:46,Blanco,BI-637,12,12,KUKULARRA,-2.98539,43.32479,9
31,Bilbao,2006-12-19,00:17:38,Blanco,A-8,117,117,IRUN,-2.94541,43.25161,6
32,Bilbao,2006-12-18,21:16:48,Blanco,A-8,111,113,IRUN,-2.88343,43.2309,3
33,,2006-12-18,09:36:52,Blanco,N-634,104,104,SANTANDER,-2.87085,43.23714,3
34,,2006-12-18,09:35:41,Blanco,N-644,130,130,Santurtzi,-3.04264,43.32942,16
35,Bilbao,2006-12-17,22:21:06,Blanco,A-8,113,113,IRUN,-2.90804,43.23352,24
36,Galdakao,2006-12-16,15:33:36,Amarillo,A-8,104,104,IRUN,-2.80454,43.23557,8
37,,2006-12-16,08:36:25,Blanco,N-634,101,101,DONOSTIA/SAN SEBASTIN,-2.838604,43.22767,8
38,Galdakao,2006-12-15,09:19:44,Blanco,N-634,102,102,SANTANDER,-2.849825,43.23083,18
39,,2006-12-15,09:11:05,Amarillo,BI-637,9,9,KURTXES(BERANGO),-2.96194,43.30914,9
40,Galdakao,2006-12-14,23:11:58,Blanco,A-8,101,101,IRUN,-2.76907,43.23126,10
41,Bilbao,2006-12-14,21:13:05,Blanco,A-8,113,113,CANTABRIA,-2.908069,43.23378,24
42,Galdakao,2006-12-14,22:44:59,Blanco,A-8,106,106,CANTABRIA,-2.82662,43.23,8
43,Alonsotegi,2006-12-14,10:53:27,Blanco,BI-636,10,10,BILBAO,-3.004337,43.23591,42
44,,2006-12-14,09:05:50,Blanco,BI-631,15,15,Bermeo,-2.8696,43.33172,15
45,Barakaldo,2006-12-13,23:23:09,Blanco,A-8,124,123,IRUN,-3005.0,43.28859,35
46,Galdakao,2006-12-13,22:07:48,Blanco,A-8,106,106,CANTABRIA,-2.82662,43.23,8
47,Basauri,2006-12-13,21:17:55,Blanco,A-8,113,113,IRUN,-2.90804,43.23352,24
48,Erandio,2006-12-13,11:00:40,Blanco,N-637,12,12,ERLETXE ( por PTE. RONTEGI),-2.95528,43.29934,9
49,,2006-12-13,08:55:58,Blanco,AP-68,15,33,ZARAGOZA,-2.923842,43.1286,31
50,Orozko,2006-12-13,08:55:58,Blanco,AP-68,21,21,ZARAGOZA,-2.917043,43.07817,31
51,Galdakao,2006-12-12,21:49:33,Blanco,N-634,103,103,DONOSTIA/SAN SEBASTIN,-2.861065,43.23255,3
52,Bilbao,2006-12-12,22:51:17,Blanco,A-8,118,118,IRUN,-2.95362,43.2578,19
53,Alonsotegi,2006-12-12,11:28:26,Negro,BI-636,9,9,BILBAO,-2.993629,43.24061,28
54,Arrankudiaga,2006-12-12,11:01:54,Blanco,AP-68,10,10,BILBAO,-2.920572,43.16348,46
55,Bilbao,2006-12-11,22:38:45,Blanco,A-8,118,118,IRUN,-2.95362,43.2578,19
56,Basauri,2006-12-11,21:22:27,Blanco,A-8,111,113,IRUN,-2.88343,43.2309,3
57,,2006-12-11,10:48:26,Amarillo,BI-636,9,9,BILBAO,-2.993629,43.24061,28
58,Berango,2006-12-11,09:08:03,Blanco,BI-637,15,15,KURTXES(BERANGO),-2.99255,43.34514,9
59,Bilbao,2006-12-11,00:22:54,Blanco,A-8,136,136,IRUN,-3.11643,43.33947,23
60,,2006-12-10,21:35:53,Blanco,N-634,103,103,DONOSTIA/SAN SEBASTIN,-2.861065,43.23255,3
61,Bilbao,2006-12-07,22:20:14,Blanco,A-8,113,113,IRUN,-2.90804,43.23352,24
62,Arrigorriaga,2006-12-06,22:23:25,Blanco,A-8,113,113,CANTABRIA,-2.908069,43.23378,24
63,,2006-12-06,18:24:30,Blanco,AP-68,16,16,BILBAO,-2.916313,43.12145,31
64,Bilbao,2006-12-05,23:11:39,Blanco,A-8,113,113,IRUN,-2.90804,43.23352,24
65,Bilbao,2006-12-04,21:13:51,Blanco,A-8,111,113,IRUN,-2.88343,43.2309,3
66,Sondika,2006-12-04,09:16:09,Blanco,N-637,12,12,ERLETXE ( por PTE. RONTEGI),-2.95528,43.29934,9
67,Basauri,2006-12-03,22:22:01,Blanco,A-8,113,113,IRUN,-2.90804,43.23352,24
68,Galdakao,2006-12-02,22:10:55,Amarillo,N-634,97,97,DONOSTIA/SAN SEBASTIN,-2.79589,43.23359,8
69,,2006-12-01,22:33:02,Negro,N-634,96,96,DONOSTIA/SAN SEBASTIN,-2.78402,43.23083,26
70,Alonsotegi,2006-12-01,11:28:46,Blanco,BI-636,11,11,BILBAO,-3.01027,43.23294,42
71,Barakaldo,2006-12-01,09:41:55,Blanco,N-637,10,10,ERLETXE ( por PTE. RONTEGI),-2.97405,43.29526,7
72,Getxo,2006-11-30,23:08:38,Blanco,BI-637,13,11,KURTXES(BERANGO),-2.99622,43.33024,9
73,Basauri,2006-11-30,21:11:44,Blanco,A-8,113,113,CANTABRIA,-2.908069,43.23378,24
74,Gees,2006-11-30,15:29:41,Blanco,BI-636,6,6,BILBAO,-2.96896,43.25747,7
75,Barakaldo,2006-11-30,09:10:12,Blanco,N-637,12,12,ERLETXE ( por PTE. RONTEGI),-2.95528,43.29934,9
76,Basauri,2006-11-29,21:18:03,Blanco,A-8,113,111,IRUN,-2.90804,43.23352,24
77,,2006-11-29,21:27:44,Blanco,N-644,131,131,Bilbao,-3.047636,43.33763,16
78,Arrigorriaga,2006-11-29,10:44:40,Blanco,AP-68,15,15,ZARAGOZA,-2.923842,43.1286,31
79,Lezama,2006-11-28,23:34:29,Blanco,N-637,24,24,ERLETXE ( por PTE. RONTEGI),-2.82722,43.2641,8
80,Muskiz,2006-11-29,00:23:02,Blanco,A-8,136,136,IRUN,-3.11643,43.33947,23
81,Bilbao,2006-11-29,00:16:08,Amarillo,A-8,115,115,IRUN,-2.92753,43.24161,5
82,Arrankudiaga,2006-11-28,14:09:12,Blanco,AP-68,13,13,ZARAGOZA,-2.93714,43.14311,48
83,,2006-11-28,08:18:17,Blanco,AP-68,8,8,ZARAGOZA,-2.904608,43.17588,46
84,Muskiz,2006-11-28,10:44:58,Blanco,A-8,137,137,IRUN,-3.12723,43.3419,25
85,Bilbao,2006-11-28,09:53:32,Amarillo,A-8,117,117,IRUN,-2.94541,43.25161,6
86,Galdakao,2006-11-27,22:53:49,Blanco,N-634,97,97,DONOSTIA/SAN SEBASTIN,-2.79589,43.23359,8
87,Valle de Trpaga-Trapagaran,2006-11-27,23:24:16,Amarillo,A-8,125,127,CANTABRIA,-3.01544,43.29313,12
88,Basauri,2006-11-27,21:08:12,Blanco,A-8,113,113,CANTABRIA,-2.908069,43.23378,24
89,,2006-11-27,13:59:25,Blanco,BI-2521,42,42,ORDUA,-2.98254,42.9926,31
90,Alonsotegi,2006-11-27,11:05:11,Blanco,BI-636,10,10,BILBAO,-3.004337,43.23591,42
91,Bilbao,2006-11-27,10:36:52,Blanco,AP-68,15,15,BILBAO,-2.923555,43.12848,31
92,Galdakao,2006-11-26,23:37:03,Amarillo,N-634,101,101,DONOSTIA/SAN SEBASTIN,-2.838604,43.22767,8
93,Basauri,2006-11-26,23:27:05,Blanco,A-8,113,111,IRUN,-2.90804,43.23352,24
94,Alonsotegi,2006-11-24,12:48:10,Negro,BI-636,9,9,BILBAO,-2.993629,43.24061,28
95,,2006-11-24,04:04:19,Blanco,N-637,12,12,ERLETXE ( por PTE. RONTEGI),-2.95528,43.29934,9
96,Derio,2006-11-24,02:29:04,Blanco,N-637,17,17,ERLETXE ( por PTE. RONTEGI),-2.903674,43.28876,15
97,Bilbao,2006-11-23,21:14:51,Blanco,A-8,111,113,IRUN,-2.88343,43.2309,3
98,Arrankudiaga,2006-11-23,14:18:55,Blanco,AP-68,10,11,ZARAGOZA,-2.920465,43.1638,46
99,Muskiz,2006-11-23,09:48:15,Blanco,A-8,138,138,CANTABRIA,-3.13918,43.34282,35
100,Galdakao,2006-11-22,23:28:24,Blanco,N-637,15,15,CRUCES,-2.926004,43.28597,39
101,Basauri,2006-11-22,21:17:42,Amarillo,A-8,113,111,IRUN,-2.90804,43.23352,24
102,Alonsotegi,2006-11-22,13:07:40,Blanco,BI-636,9,11,BILBAO,-2.993629,43.24061,28
103,Basauri,2006-11-21,19:18:40,Blanco,A-8,112,112,IRUN,-2.89592,43.23205,17
104,Muskiz,2006-11-21,09:15:21,Blanco,A-8,134,134,IRUN,-3.09974,43.33071,34
105,Basauri,2006-11-21,12:08:04,Amarillo,A-8,113,113,IRUN,-2.90804,43.23352,24
106,Galdakao,2006-11-20,21:34:11,Blanco,N-634,103,103,DONOSTIA/SAN SEBASTIN,-2.861065,43.23255,3
107,Bilbao,2006-11-20,21:13:04,Blanco,BI-636,5,5,BILBAO,-2.97122,43.26661,7
108,Bilbao,2006-11-20,15:45:20,Amarillo,BI-636,7,7,BILBAO,-2.974041,43.25064,7
109,Basauri,2006-11-19,22:09:45,Blanco,A-8,113,113,IRUN,-2.90804,43.23352,24
110,Galdakao,2006-11-18,08:07:07,Blanco,N-634,103,103,SANTANDER,-2.861065,43.23255,3
111,Abanto y Cirvana-Abanto Zierbena,2006-11-17,12:33:27,Blanco,N-634,131,131,DONOSTIA/SAN SEBASTIN,-3.10905,43.3229,34
112,Gees,2006-11-17,11:38:45,Blanco,BI-636,15,15,CADAGUA,-3.042474,43.20639,47
113,Barakaldo,2006-11-17,03:42:22,Blanco,A-8,122,122,IRUN,-2.98578,43.28167,7
114,,2006-11-16,21:39:30,Blanco,N-644,132,132,Bilbao,-3.04274,43.34047,16
115,Bilbao,2006-11-16,21:22:57,Blanco,A-8,111,113,CANTABRIA,-2.883459,43231.0,45
116,,2006-11-16,08:37:14,Blanco,AP-68,19,19,BILBAO,-2.918417,43.09539,31
117,Bilbao,2006-11-16,11:24:06,Blanco,BI-636,8,8,BILBAO,-2.982984,43.2456,51
118,,2006-11-16,02:27:48,Blanco,A-8,132,132,IRUN,-3.07694,43.33036,37
119,Derio,2006-11-15,23:31:18,Blanco,N-637,13,13,ERLETXE ( por PTE. RONTEGI),-2.94501,43.29437,9
120,Portugalete,2006-11-15,23:09:39,Blanco,A-8,126,126,IRUN,-3.02248,43.30032,12
121,Galdakao,2006-11-15,21:29:33,Blanco,N-634,103,103,SANTANDER,-2.861065,43.23255,3
122,Alonsotegi,2006-11-15,09:47:32,Blanco,BI-636,8,8,BILBAO,-2.982984,43.2456,51
123,Portugalete,2006-11-14,22:56:21,Blanco,A-8,126,126,IRUN,-3.02248,43.30032,12
124,"Etxebarri, Ant S. Esteban-Etxebarri D. E.",2006-11-14,21:42:00,Blanco,N-634,104,104,SANTANDER,-2.87085,43.23714,3
125,Gees,2006-11-14,11:57:26,Blanco,BI-636,15,15,CADAGUA,-3.042474,43.20639,47
126,Basauri,2006-11-13,21:38:40,Blanco,A-8,114,114,CANTABRIA,-2.919231,43.23613,24
127,Bilbao,2006-11-13,10:52:54,Blanco,A-8,131,131,IRUN,-3.06707,43.32707,36
128,Alonsotegi,2006-11-13,10:48:55,Blanco,BI-636,10,10,CADAGUA,-3.004373,43.23614,42
129,Erandio,2006-11-12,23:48:21,Blanco,BI-604,4,5,ASUA,-2.95606,43.27935,9
130,Bilbao,2006-11-12,22:19:26,Blanco,A-8,111,113,IRUN,-2.88343,43.2309,3
131,,2006-11-11,09:58:20,Blanco,N-634,101,101,DONOSTIA/SAN SEBASTIN,-2.838604,43.22767,8
132,Arrigorriaga,2006-11-10,12:44:44,Amarillo,AP-68,8,8,ZARAGOZA,-2.904608,43.17588,46
133,Ortuella,2006-11-10,08:00:54,Amarillo,A-8,132,132,IRUN,-3.07694,43.33036,37
134,Barakaldo,2006-11-09,21:30:46,Blanco,A-8,121,121,IRUN,-2.977874,43.27453,7
135,Bilbao,2006-11-09,21:14:10,Blanco,A-8,113,113,CANTABRIA,-2.908069,43.23378,24
136,,2006-11-09,11:24:00,Blanco,N-634,108,108,DONOSTIA/SAN SEBASTIN,-2.90335,43.24939,17
137,Amorebieta-Etxano,2006-11-09,09:41:15,Amarillo,N-634,98,98,DONOSTIA/SAN SEBASTIN,-2.80671,43.23633,8
138,Ortuella,2006-11-09,07:55:57,Blanco,A-8,133,133,IRUN,-3.08903,43.3294,34
139,Bilbao,2006-11-09,03:07:49,Blanco,AP-68,0,0,BILBAO,-2917.0,43.23466,35
140,,2006-11-06,08:27:02,Blanco,AP-68,16,29,ZARAGOZA,-2.916557,43.12165,31
141,Ortuella,2006-11-08,14:39:44,Blanco,A-8,132,132,IRUN,-3.07694,43.33036,37
142,,2006-11-08,09:16:50,Blanco,AP-68,22,22,BILBAO,-2.92426,43.07066,31
143,Basauri,2006-11-07,21:18:32,Blanco,A-8,113,113,CANTABRIA,-2.908069,43.23378,24
144,Santurtzi,2006-11-07,22:57:14,Blanco,A-8,130,130,IRUN,-3.05598,43.32278,4
145,Bilbao,2006-11-07,21:20:09,Blanco,A-8,119,119,CANTABRIA,-2.96142,43.26417,7
146,Ortuella,2006-11-07,10:26:22,Amarillo,A-8,133,133,IRUN,-3.08903,43.3294,34
147,,2006-11-06,21:13:29,Blanco,A-8,111,112,CANTABRIA,-2.883459,43231.0,45
