zone,accidents,accidents_reach,outrage_accidents,road_exit_accidents,scissor_truck_accidents,rollover_accidents,accidents_winter,accidents_spring,accidentes_summer,accidentes_autumn,traffic_flow,traffic_slow,traffic_very_slow,trafico_stopped,morning(00:00-11:59),evening(12:00-23:59),group
0,24,13,3,8,0,0,7,8,4,5,22,2,0,0,4,20,2
1,17,11,0,5,0,1,6,6,2,3,9,7,0,0,6,11,2
2,10,5,0,5,0,0,5,2,1,2,4,5,1,0,3,7,2
3,138,112,5,16,0,5,41,32,31,34,107,28,3,0,52,86,3
4,33,21,1,10,0,1,7,9,6,11,21,11,1,0,11,22,2
5,139,77,0,55,1,6,43,37,34,25,97,38,3,1,49,90,3
6,68,45,0,21,1,1,26,13,11,18,58,8,2,0,23,45,3
7,298,204,2,72,1,19,106,76,53,63,222,67,6,2,121,177,1
8,134,98,3,27,0,6,50,37,17,30,99,32,2,1,48,86,3
9,401,271,2,113,1,14,135,106,72,88,309,84,5,3,133,268,1
10,38,24,1,12,0,1,9,10,10,9,32,6,0,0,18,20,2
12,271,233,0,29,0,9,58,61,62,90,205,57,7,2,88,183,1
13,30,20,1,4,0,5,4,6,8,12,24,5,0,1,10,20,2
14,149,110,4,29,1,5,50,31,28,40,120,26,2,1,57,92,3
15,77,43,0,31,0,3,25,20,12,20,60,16,0,1,22,55,2
16,27,12,0,7,1,7,6,9,7,5,16,9,1,1,7,20,3
17,84,57,1,22,0,4,24,25,16,19,62,21,0,1,34,50,2
18,43,32,0,9,0,2,14,10,8,11,35,8,0,0,15,28,2
19,51,36,1,13,0,1,17,17,6,11,37,12,2,0,24,27,2
20,13,10,0,3,0,0,3,5,4,1,10,3,0,0,3,10,2
21,11,9,0,2,0,0,4,4,0,3,7,4,0,0,4,7,2
22,26,16,0,6,1,3,8,6,4,8,15,10,0,1,12,14,3
23,39,16,0,17,0,6,12,13,7,7,21,16,1,0,13,26,2
24,70,37,1,26,0,6,23,12,14,21,52,15,3,0,23,47,2
25,11,4,0,6,0,1,3,3,3,2,9,2,0,0,4,7,2
26,15,8,1,4,1,1,6,4,1,4,10,5,0,0,5,10,3
27,35,18,0,13,1,3,7,5,10,13,28,7,0,0,10,25,3
28,10,7,0,3,0,0,3,3,3,1,6,4,0,0,2,8,2
29,10,6,0,3,0,1,4,3,2,1,8,2,0,0,5,5,2
30,11,9,0,1,0,1,4,1,2,4,7,4,0,0,5,6,2
31,31,9,0,18,0,4,6,7,10,8,27,4,0,0,8,23,2
32,32,17,0,11,0,4,12,9,5,6,26,5,0,1,16,16,2
33,14,9,0,3,0,2,6,2,0,6,9,4,1,0,5,9,2
34,16,12,0,4,0,0,4,4,4,4,10,5,1,0,5,11,2
35,13,7,0,5,0,1,6,3,1,3,10,1,1,1,5,8,2
36,19,13,0,6,0,0,4,8,4,3,12,5,1,0,6,13,2
37,30,23,1,6,0,0,9,7,9,5,21,9,0,0,7,23,2
38,24,11,0,9,0,4,5,2,8,9,21,3,0,0,10,14,2
39,16,8,0,8,0,0,3,4,3,6,11,5,0,0,5,11,2
40,16,6,0,9,0,1,7,3,3,3,14,2,0,0,3,13,2
41,14,8,0,6,0,0,3,5,3,3,11,3,0,0,5,9,2
42,25,20,1,3,0,1,9,7,2,7,20,4,1,0,11,14,2
43,12,9,0,3,0,0,4,2,1,5,11,1,0,0,6,6,2
44,10,5,0,2,1,2,3,1,4,2,7,1,1,1,3,7,3
45,10,4,0,4,0,2,0,1,4,5,7,3,0,0,3,7,2
46,12,6,0,5,0,1,2,5,2,3,8,4,0,0,3,9,2
47,12,8,0,2,0,2,2,3,3,4,10,2,0,0,6,6,2
48,16,12,0,3,0,1,1,7,4,4,14,2,0,0,3,13,2
49,15,10,1,3,0,1,3,4,4,4,11,4,0,0,2,13,2
50,17,9,0,6,0,2,4,4,2,7,13,4,0,0,6,11,2
51,10,9,0,0,0,1,2,3,2,3,8,2,0,0,2,8,2
52,7,4,0,3,0,0,2,2,3,0,2,5,0,0,2,5,2
53,2,1,1,0,0,0,0,2,0,0,2,0,0,0,1,1,2
54,11,7,0,3,0,1,1,2,4,4,10,1,0,0,1,10,2
